Adaptive	Fixed
TRAJ1-1	TRAJ1
TRAJ2-1	TRAJ2
TRAJ3-1	TRAJ3
TRAJ4-1	TRAJ4
TRAJ5-1	TRAJ5
TRAJ6-1	TRAJ6
TRAJ7-1	TRAJ7
TRAJ8-1	TRAJ8
TRAJ9-1	TRAJ9
TRAJ10-1	TRAJ10
TRAJ11-1	TRAJ11
TRAJ12-1	TRAJ12
TRAJ13-1	TRAJ13
TRAJ14-1	TRAJ14
TRAJ15-1	TRAJ15
TRAJ16-1	TRAJ16
TRAJ17-1	TRAJ17
TRAJ18-1	TRAJ18
TRAJ19-1	TRAJ19
TRAJ20-1	TRAJ20
TRAJ21-1	TRAJ21
TRAJ22-1	TRAJ22
TRAJ23-1	TRAJ23
TRAJ24-1	TRAJ24
TRAJ25-1	TRAJ25
TRAJ26-1	TRAJ26
TRAJ27-1	TRAJ27
TRAJ28-1	TRAJ28
TRAJ29-1	TRAJ29
TRAJ30-1	TRAJ30
TRAJ31-1	TRAJ31
TRAJ32-1	TRAJ32
TRAJ33-1	TRAJ33
TRAJ34-1	TRAJ34
TRAJ35-1	TRAJ35
TRAJ36-1	TRAJ36
TRAJ37-1	TRAJ37
TRAJ38-1	TRAJ38
TRAJ39-1	TRAJ39
TRAJ40-1	TRAJ40
TRAJ41-1	TRAJ41
TRAJ42-1	TRAJ42
TRAJ43-1	TRAJ43
TRAJ44-1	TRAJ44
TRAJ45-1	TRAJ45
TRAJ46-1	TRAJ46
TRAJ47-1	TRAJ47
TRAJ48-1	TRAJ48
TRAJ49-1	TRAJ49
TRAJ50-1	TRAJ50
TRAJ51-1	TRAJ51
TRAJ52-1	TRAJ52
TRAJ53-1	TRAJ53
TRAJ54-1	TRAJ54
TRAJ55-1	TRAJ55
TRAJ56-1	TRAJ56
TRAJ57-1	TRAJ57
TRAJ58-1	TRAJ58
TRAJ59-1	TRAJ59
TRAJ60-1	TRAJ60
TRAJ61-1	TRAJ61
TRDJ1-1	TRDJ1
TRDJ2-1	TRDJ2
TRDJ3-1	TRDJ3
TRDJ4-1	TRDJ4
TRGJ1-1	TRGJ1
TRGJ2-1	TRGJ2
TRGJP-1	TRGJP
TRGJP1-1	TRGJP1
TRGJP2-1	TRGJP2
