Adaptive	Fixed
TRBV1-1	TRBV1
TRBV2-1	TRBV2
TRBV9-1	TRBV9
TRBV13-1	TRBV13
TRBV14-1	TRBV14
TRBV15-1	TRBV15
TRBV16-1	TRBV16
TRBV17-1	TRBV17
TRBV18-1	TRBV18
TRBV19-1	TRBV19
TRBV26-1	TRBV26
TRBV27-1	TRBV27
TRBV28-1	TRBV28
TRBV30-1	TRBV30
TRAV14-1	TRAV14/DV4
TRAV23-1	TRAV23/DV6
TRAV29-1	TRAV29/DV5
TRAV36-1	TRAV36/DV7
TRAV10-1	TRAV10
TRAV11-1	TRAV11
TRAV15-1	TRAV15
TRAV16-1	TRAV16
TRAV17-1	TRAV17
TRAV18-1	TRAV18
TRAV19-1	TRAV19
TRAV2-1	TRAV2
TRAV20-1	TRAV20
TRAV21-1	TRAV21
TRAV22-1	TRAV22
TRAV24-1	TRAV24
TRAV25-1	TRAV25
TRAV27-1	TRAV27
TRAV28-1	TRAV28
TRAV3-1	TRAV3
TRAV30-1	TRAV30
TRAV31-1	TRAV31
TRAV32-1	TRAV32
TRAV33-1	TRAV33
TRAV34-1	TRAV34
TRAV35-1	TRAV35
TRAV37-1	TRAV37
TRAV39-1	TRAV39
TRAV4-1	TRAV4
TRAV40-1	TRAV40
TRAV41-1	TRAV41
TRAV46-1	TRAV46
TRAV5-1	TRAV5
TRAV6-1	TRAV6
TRAV7-1	TRAV7
TRDV1-1	TRDV1
TRDV2-1	TRDV2
TRDV3-1	TRDV3
TRGV1-1	TRGV1
TRGV2-1	TRGV2
TRGV3-1	TRGV3
TRGV3P-1	TRGV3P
TRGV4-1	TRGV4
TRGV5-1	TRGV5
TRGV5P-1	TRGV5P
TRGV6-1	TRGV6
TRGV7-1	TRGV7
TRGV8-1	TRGV8
TRGV9-1	TRGV9
TRGV10-1	TRGV10
TRGV11-1	TRGV11
TRGVA-1	TRGVA
TRGVB-1	TRGVB


